# Logs the delay for processing a BGP feed in seconds.
# Data format: <BGP feed row number>    <Delay>
1	3.09491157532
2	2.59160995483
3	5.14769554138
4	3.48424911499
5	3.10277938843
6	3.03530693054
7	3.10325622559
8	2.58612632751
9	2.81071662903
10	2.16317176819
11	2.525806427
12	3.94129753113
13	2.95472145081
14	2.20561027527
15	2.17199325562
16	2.47097015381
17	2.84910202026
19	3.0620098114
20	2.38108634949
22	2.64620780945
23	2.2349357605
24	2.54154205322
25	2.57015228271
26	2.32434272766
27	2.20084190369
28	2.20823287964
29	2.58803367615
30	2.96115875244
31	2.87413597107
33	2.17199325562
34	2.44426727295
35	2.23278999329
37	1.88660621643
38	2.27451324463
39	1.83129310608
40	2.15792655945
41	2.35509872437
42	2.11691856384
43	1.8367767334
44	2.98929214478
45	2.70175933838
46	2.41327285767
47	2.84433364868
48	2.94923782349
49	3.084897995
50	2.38442420959
51	2.4471282959
52	2.06875801086
53	2.82740592957
54	2.33197212219
55	2.29358673096
56	2.77948379517
57	2.1870136261
58	2.04586982727
59	2.10309028625
60	3.42607498169
61	3.11183929443
62	3.53813171387
63	2.51388549805
64	2.40206718445
65	2.25305557251
66	2.77280807495
67	2.76517868042
68	2.54416465759
69	2.28571891785
70	2.21490859985
71	2.37989425659
72	2.24423408508
73	2.96235084534
74	2.14958190918
75	4.4207572937
76	3.3164024353
77	2.35986709595
78	2.19678878784
79	2.11215019226
80	2.15554237366
81	2.25925445557
82	2.76279449463
83	2.86912918091
84	2.60949134827
85	2.2177696228
86	3.00526618958
87	2.16603279114
88	2.66218185425
89	2.08973884583
90	2.5851726532
91	2.44951248169
92	2.06208229065
93	1.85489654541
94	1.90925598145
95	2.05111503601
96	1.82843208313
97	1.89471244812
98	2.49910354614
99	2.90203094482
100	2.35533714294
